job_id,topology,p_ws,gamma,epsilon,init_dist,run,n_clusters,polarised,std_opinion,mean_cluster_size,max_cluster_frac,convergence_step
239,ws,0.0,0.0,0.3,uniform,39,4,True,0.2172916470388169,250.0,0.55,3000
240,ws,0.0,0.0,0.3,uniform,40,4,True,0.2015509513387511,250.0,0.643,6000
241,ws,0.0,0.0,0.3,uniform,41,4,True,0.19189070138672518,250.0,0.609,6000
242,ws,0.0,0.0,0.3,uniform,42,4,True,0.21960548272253888,250.0,0.354,3000
243,ws,0.0,0.0,0.3,uniform,43,4,True,0.21626738047727712,250.0,0.562,3000
244,ws,0.0,0.0,0.3,uniform,44,4,True,0.19501424036210085,250.0,0.557,3000
245,ws,0.0,0.0,0.3,uniform,45,4,True,0.18333340897958197,250.0,0.684,5000
246,ws,0.0,0.0,0.3,uniform,46,4,True,0.20201701618134826,250.0,0.58,6000
247,ws,0.0,0.0,0.3,uniform,47,4,True,0.19379093348667112,250.0,0.589,3000
248,ws,0.0,0.0,0.3,uniform,48,4,True,0.20726537330537181,250.0,0.538,3000
249,ws,0.0,0.0,0.3,uniform,49,4,True,0.2258748902040668,250.0,0.477,2000
250,ws,0.0,0.0,0.3,bimodal,0,2,True,0.3005978285816961,500.0,0.5,1000
251,ws,0.0,0.0,0.3,bimodal,1,2,True,0.29811873073039935,500.0,0.5,1000
252,ws,0.0,0.0,0.3,bimodal,2,2,True,0.29682285021323707,500.0,0.5,1000
253,ws,0.0,0.0,0.3,bimodal,3,2,True,0.30149535956055923,500.0,0.5,1000
254,ws,0.0,0.0,0.3,bimodal,4,2,True,0.30016493719657444,500.0,0.5,1000
255,ws,0.0,0.0,0.3,bimodal,5,2,True,0.2991276180731004,500.0,0.5,1000
256,ws,0.0,0.0,0.3,bimodal,6,2,True,0.3024486428356737,500.0,0.5,1000
257,ws,0.0,0.0,0.3,bimodal,7,2,True,0.3012866202824385,500.0,0.5,1000
258,ws,0.0,0.0,0.3,bimodal,8,2,True,0.3038811076494471,500.0,0.5,1000
259,ws,0.0,0.0,0.3,bimodal,9,2,True,0.29965326020191113,500.0,0.5,1000
260,ws,0.0,0.0,0.3,bimodal,10,2,True,0.3036217634852837,500.0,0.5,1000
261,ws,0.0,0.0,0.3,bimodal,11,2,True,0.29982449762883573,500.0,0.5,1000
262,ws,0.0,0.0,0.3,bimodal,12,2,True,0.29626324488309874,500.0,0.5,1000
263,ws,0.0,0.0,0.3,bimodal,13,2,True,0.2988277126298165,500.0,0.5,1000
264,ws,0.0,0.0,0.3,bimodal,14,2,True,0.2996327517199237,500.0,0.5,1000
265,ws,0.0,0.0,0.3,bimodal,15,2,True,0.30004179537670783,500.0,0.5,1000
266,ws,0.0,0.0,0.3,bimodal,16,2,True,0.30177556177265213,500.0,0.5,1000
267,ws,0.0,0.0,0.3,bimodal,17,2,True,0.30429491424353455,500.0,0.5,1000
268,ws,0.0,0.0,0.3,bimodal,18,2,True,0.30046276864422844,500.0,0.5,1000
269,ws,0.0,0.0,0.3,bimodal,19,2,True,0.29979239864672474,500.0,0.5,1000
270,ws,0.0,0.0,0.3,bimodal,20,2,True,0.29942987548662847,500.0,0.5,1000
271,ws,0.0,0.0,0.3,bimodal,21,2,True,0.3017574841306985,500.0,0.5,1000
272,ws,0.0,0.0,0.3,bimodal,22,2,True,0.30056200555055235,500.0,0.5,1000
273,ws,0.0,0.0,0.3,bimodal,23,2,True,0.30547833277148045,500.0,0.5,1000
274,ws,0.0,0.0,0.3,bimodal,24,2,True,0.30247716282459486,500.0,0.5,1000
275,ws,0.0,0.0,0.3,bimodal,25,2,True,0.3023561505708027,500.0,0.5,1000
276,ws,0.0,0.0,0.3,bimodal,26,2,True,0.30377469106132604,500.0,0.5,1000
277,ws,0.0,0.0,0.3,bimodal,27,2,True,0.30064120147148904,500.0,0.5,1000
278,ws,0.0,0.0,0.3,bimodal,28,2,True,0.2974547880501291,500.0,0.5,1000
279,ws,0.0,0.0,0.3,bimodal,29,2,True,0.30384014772372864,500.0,0.5,1000
280,ws,0.0,0.0,0.3,bimodal,30,2,True,0.301182667311303,500.0,0.5,1000
